BO-ID,startYear,primaryTitle,genres,Prod Budget,Domestic BO,Intl BO,WW BO
181,2019,Bulletproof Monk,Action,52000000,23010607,3911885,26922492
182,2019,AVP: Alien Vs. Predator,Action,70000000,80281096,92262423,172543519
183,2019,Godsend,Thriller/Suspense,30000000,14334645,2539280,16873925
184,2019,White Noise,Horror,10000000,56094360,36000000,92094360
185,2019,An American Haunting,Horror,14000000,16298046,14145231,30443277
186,2019,Epic Movie,Comedy,20000000,39739367,47119211,86858578
187,2019,The Mummy: Tomb of the Dragon Emperor,Adventure,175000000,102491776,303268449,405760225
188,2019,How She Move,Drama,17000000,7070641,1537174,8607815
189,2019,Flash of Genius,Drama,20000000,4442377,61734,4504111
190,2019,Scott Pilgrim vs. The World,Comedy,85000000,32841100,16445448,49286548
191,2019,Sucker Punch,Action,75000000,36392502,53365887,89758389
192,2019,Red Riding Hood,Thriller/Suspense,42000000,37662162,54016280,91678442
193,2019,Dream House,Horror,50000000,21302340,20339826,41642166
194,2019,The Woman in Black,Horror,15000000,54333290,74622608,128955898
195,2020,The Mortal Instruments: City of Bones,Adventure,60000000,31165421,44800146,75965567
196,2020,Mandela: Long Walk to Freedom,Drama,35000000,8323085,21567317,29890402
197,2020,Mama,Horror,15000000,71628180,76467386,148095566
198,2020,Upside Down,Romantic Comedy,50000000,102118,26284921,26387039
199,2020,Brick Mansions,Action,28000000,20396829,53024395,73421224
200,2020,What If,Romantic Comedy,11000000,3493000,6321566,9814566
201,2020,The Fault in Our Stars,Drama,12000000,124872350,182294484,307166834
202,2020,Brooklyn,Drama,11000000,38322743,23753398,62076141
203,2020,Midway,Action,100000000,56846802,69982261,126829063
204,2020,Scary Stories to Tell in the Dark,Horror,28000000,68947075,26660285,95607360
